id,nid,num,num_jg,num_uprl,num_tjrl,tj2
23,001,"2,15,20,22,32,34,35,42,44,46,50,54,55,64,68,71,74,75,77,79","3,-2,3,1,6,1,2,3,2,6,13,1,3,5,-15,2,11,1,6,-20,5,-22,7,18,9,1,4,2,2,1,1,-32,2,-34,-35,2,2,2,7,3,3,-42,2,-44,10,-46,6,8,4,-50,1,7,18,-54,-55,1,3,8,1,3,12,7,4,-64,1,1,3,-68,2,8,-71,3,1,-74,-75,2,-77,1,-79,5","32,12,46,72,69,2,9,41,7,74,71,56,58,64,73,6,57,66,67,23,26,51,54,59,75,80,76,8,22,27,36,37,61,5,34,21,33,35,38,39,68,70,3,11,15,4,13,16,19,20,28,52,63,65,42,77,10,30,14,44,48,49,50,53,29,40,25,45,1,18,31,60,79,17,62,43,47,78,24,55","32,46,12,72,2,69,74,7,9,41,71,64,56,58,73,6,54,66,67,75,23,26,51,57,59,22,76,80,8,27,34,36,37,61,5,35,68,33,70,3,11,15,21,38,39,13,16,19,20,28,42,63,65,4,52,77,10,50,14,30,44,48,29,40,49,53,45,79,1,18,25,31,60,17,62,47,43,78,24,55","1,2,4,6,10,14,18,20,23,28,29,33,35,36,38,40,44,47,49,52,54,55,57,61,65,66,72,74,75,76,77,79"
24,002,"2,5,6,9,13,24,26,27,33,35,45,46,55,56,64,65,66,69,73,78","4,-2,4,2,-5,-6,3,4,-9,7,14,2,-13,6,1,3,12,2,7,1,6,1,8,-24,10,-26,-27,3,3,2,2,1,-33,1,-35,3,3,3,8,4,4,1,3,1,-45,-46,7,9,5,1,2,8,19,1,-55,-56,4,9,2,4,13,8,5,-64,-65,-66,4,1,-69,9,1,4,-73,1,1,3,1,-78,1,6","32,46,12,72,2,69,74,7,9,41,71,64,56,58,73,6,54,66,67,75,23,26,51,57,59,22,76,80,8,27,34,36,37,61,5,35,68,33,70,3,11,15,21,38,39,13,16,19,20,28,42,63,65,4,52,77,10,50,14,30,44,48,29,40,49,53,45,79,1,18,25,31,60,17,62,47,43,78,24,55","32,46,12,2,69,72,74,7,9,64,71,41,56,73,6,58,66,26,54,67,51,59,75,23,27,57,76,80,5,8,22,34,35,36,37,61,33,68,70,3,11,13,21,38,39,15,16,20,28,42,63,65,4,19,52,77,10,14,30,50,29,40,44,45,48,49,53,79,1,18,31,60,17,25,62,47,24,43,55,78","1,2,4,5,12,14,18,21,23,25,27,28,30,32,33,34,37,39,40,44,47,48,52,55,56,57,63,66,67,69,70,73,74,77,80"
25,003,"3,6,10,12,15,22,24,26,30,32,37,38,43,57,58,60,62,69,70,79","5,1,-3,3,1,-6,4,5,1,-10,15,-12,1,7,-15,4,13,3,8,2,7,-22,9,-24,11,-26,1,4,4,-30,3,-32,1,2,1,4,-37,-38,9,5,5,2,-43,2,1,1,8,10,6,2,3,9,20,2,1,1,-57,-58,3,-60,14,-62,6,1,1,1,5,2,-69,-70,2,5,1,2,2,4,2,1,-79,7","32,46,12,2,69,72,74,7,9,64,71,41,56,73,6,58,66,26,54,67,51,59,75,23,27,57,76,80,5,8,22,34,35,36,37,61,33,68,70,3,11,13,21,38,39,15,16,20,28,42,63,65,4,19,52,77,10,14,30,50,29,40,44,45,48,49,53,79,1,18,31,60,17,25,62,47,24,43,55,78","32,46,12,2,69,72,7,9,64,71,74,6,41,73,26,56,58,66,54,67,51,57,75,22,23,27,59,80,5,8,34,36,37,61,76,35,70,3,33,38,68,13,15,21,11,16,20,39,63,65,4,10,28,42,52,77,19,30,14,50,29,40,48,49,53,79,44,45,60,1,18,31,62,17,25,24,43,47,55,78","1,5,9,10,12,14,19,20,22,25,29,30,32,34,35,37,39,42,46,47,50,54,55,59,61,63,66,67,71,72,73,74,76,78,79"
26,004,"4,7,9,12,16,26,27,35,36,43,46,50,53,65,67,68,73,75,77,80","6,2,1,-4,2,1,-7,6,-9,1,16,-12,2,8,1,-16,14,4,9,3,8,1,10,1,12,-26,-27,5,5,1,4,1,2,3,-35,-36,1,1,10,6,6,3,-43,3,2,-46,9,11,7,-50,4,10,-53,3,2,2,1,1,4,1,15,1,7,2,-65,2,-67,-68,1,1,3,6,-73,3,-75,5,-77,2,1,-80","32,46,12,2,69,72,7,9,64,71,74,6,41,73,26,56,58,66,54,67,51,57,75,22,23,27,59,80,5,8,34,36,37,61,76,35,70,3,33,38,68,13,15,21,11,16,20,39,63,65,4,10,28,42,52,77,19,30,14,50,29,40,48,49,53,79,44,45,60,1,18,31,62,17,25,24,43,47,55,78","32,46,12,2,69,72,7,9,64,71,73,74,6,26,41,58,66,67,56,75,51,54,57,80,22,23,27,36,5,37,59,61,76,8,34,35,68,3,33,38,70,13,15,16,65,4,11,20,21,39,77,63,10,19,28,30,42,50,52,14,53,40,48,49,79,29,44,45,60,18,62,1,17,31,25,43,24,47,55,78","1,3,4,5,8,9,10,12,14,19,23,24,26,29,32,33,35,38,39,40,42,43,47,48,50,55,56,62,64,68,69,70,73,75,77,78,80"
27,005,"9,11,12,14,19,20,22,27,31,33,36,37,45,49,55,57,60,64,79,80","7,3,2,1,3,2,1,7,-9,2,-11,-12,3,-14,2,1,15,5,-19,-20,9,-22,11,2,13,1,-27,6,6,2,-31,2,-33,4,1,-36,-37,2,11,7,7,4,1,4,-45,1,10,12,-49,1,5,11,1,4,-55,3,-57,2,5,-60,16,2,8,-64,1,3,1,1,2,2,4,7,1,4,1,6,1,3,-79,-80","32,46,12,2,69,72,7,9,64,71,73,74,6,26,41,58,66,67,56,75,51,54,57,80,22,23,27,36,5,37,59,61,76,8,34,35,68,3,33,38,70,13,15,16,65,4,11,20,21,39,77,63,10,19,28,30,42,50,52,14,53,40,48,49,79,29,44,45,60,18,62,1,17,31,25,43,24,47,55,78","32,12,46,2,69,72,9,7,64,71,73,26,41,74,6,58,66,67,56,75,80,22,27,36,51,54,57,23,37,5,76,8,33,35,59,61,68,3,34,38,70,11,13,15,16,20,65,39,77,4,19,21,63,10,14,28,30,42,50,52,53,45,48,49,60,79,40,44,18,29,31,62,1,17,25,43,24,55,47,78","1,4,6,9,10,12,14,19,21,22,24,25,27,29,30,31,35,36,42,43,47,48,50,55,56,62,66,68,70,73,74,76,77,78"
28,006,"2,8,12,19,24,25,31,32,33,35,43,47,48,52,56,59,60,66,67,79","8,-2,3,2,4,3,2,-8,1,3,1,-12,4,1,3,2,16,6,-19,1,10,1,12,-24,-25,2,1,7,7,3,-31,-32,-33,5,-35,1,1,3,12,8,8,5,-43,5,1,2,-47,-48,1,2,6,-52,2,5,1,-56,1,3,-59,-60,17,3,9,1,2,-66,-67,2,3,3,5,8,2,5,2,7,2,4,-79,1","32,12,46,2,69,72,9,7,64,71,73,26,41,74,6,58,66,67,56,75,80,22,27,36,51,54,57,23,37,5,76,8,33,35,59,61,68,3,34,38,70,11,13,15,16,20,65,39,77,4,19,21,63,10,14,28,30,42,50,52,53,45,48,49,60,79,40,44,18,29,31,62,1,17,25,43,24,55,47,78","32,12,46,2,69,72,9,7,64,73,26,66,67,71,74,6,41,56,58,75,80,22,27,51,23,36,37,54,57,5,33,35,76,8,59,61,3,34,68,70,13,15,16,20,38,65,11,39,77,4,19,63,10,14,21,28,30,42,52,48,50,53,60,79,45,49,40,44,18,29,31,1,43,62,25,17,24,55,47,78","1,4,5,6,10,12,14,19,20,23,25,26,27,29,32,36,39,41,42,47,50,54,55,58,60,65,66,68,71,72,75,77,78"
29,007,"1,2,18,25,27,29,35,39,43,51,53,54,59,61,67,69,71,74,75,79","-1,-2,4,3,5,4,3,1,2,4,2,1,5,2,4,3,17,-18,1,2,11,2,13,1,-25,3,-27,8,-29,4,1,1,1,6,-35,2,2,4,-39,9,9,6,-43,6,2,3,1,1,2,3,-51,1,-53,-54,2,1,2,4,-59,1,-61,4,10,2,3,1,-67,3,-69,4,-71,9,3,-74,-75,8,3,5,-79,2","32,12,46,2,69,72,9,7,64,73,26,66,67,71,74,6,41,56,58,75,80,22,27,51,23,36,37,54,57,5,33,35,76,8,59,61,3,34,68,70,13,15,16,20,38,65,11,39,77,4,19,63,10,14,21,28,30,42,52,48,50,53,60,79,45,49,40,44,18,29,31,1,43,62,25,17,24,55,47,78","32,12,46,2,69,72,9,71,73,74,7,26,64,66,67,6,41,58,51,56,75,80,27,54,22,23,35,57,5,33,36,37,59,61,76,8,3,34,70,13,15,20,38,39,68,11,16,65,77,4,63,10,14,19,21,42,52,53,79,28,30,48,50,60,45,49,18,40,44,1,29,31,43,62,25,17,24,55,47,78","1,2,5,7,10,13,16,20,21,23,25,27,29,30,31,32,35,37,38,39,40,45,52,53,55,56,60,61,66,70,71,72,75,77,78"
30,008,"1,2,7,8,10,13,15,26,47,54,55,56,57,60,65,71,75,76,77,79","-1,-2,5,4,6,5,-7,-8,3,-10,3,2,-13,3,-15,4,18,1,2,3,12,3,14,2,1,-26,1,9,1,5,2,2,2,7,1,3,3,5,1,10,10,7,1,7,3,4,-47,2,3,4,1,2,1,-54,-55,-56,-57,5,1,-60,1,5,11,3,-65,2,1,4,1,5,-71,10,4,1,-75,-76,-77,6,-79,3","32,12,46,2,69,72,9,71,73,74,7,26,64,66,67,6,41,58,51,56,75,80,27,54,22,23,35,57,5,33,36,37,59,61,76,8,3,34,70,13,15,20,38,39,68,11,16,65,77,4,63,10,14,19,21,42,52,53,79,28,30,48,50,60,45,49,18,40,44,1,29,31,43,62,25,17,24,55,47,78","32,12,46,2,69,72,9,71,7,26,64,66,67,73,74,41,75,6,51,54,56,58,80,27,22,23,57,8,33,35,37,59,76,5,36,61,3,13,15,70,20,34,38,39,65,68,77,11,16,4,63,10,14,19,21,42,53,79,28,30,48,50,52,60,45,49,1,18,44,29,31,40,43,62,17,24,25,55,47,78","2,4,6,7,9,10,12,16,20,21,25,27,30,31,34,36,38,39,41,45,48,50,53,56,60,61,66,67,70,71,73,74,76,78,79"
31,009,"11,15,26,27,28,34,40,43,46,47,48,52,56,58,60,62,67,74,75,79","1,1,6,5,7,6,1,1,4,1,-11,3,1,4,-15,5,19,2,3,4,13,4,15,3,2,-26,-27,-28,2,6,3,3,3,-34,2,4,4,6,2,-40,11,8,-43,8,4,-46,-47,-48,4,5,2,-52,2,1,1,-56,1,-58,2,-60,2,-62,12,4,1,3,-67,5,2,6,1,11,5,-74,-75,1,1,7,-79,4","32,12,46,2,69,72,9,71,7,26,64,66,67,73,74,41,75,6,51,54,56,58,80,27,22,23,57,8,33,35,37,59,76,5,36,61,3,13,15,70,20,34,38,39,65,68,77,11,16,4,63,10,14,19,21,42,53,79,28,30,48,50,52,60,45,49,1,18,44,29,31,40,43,62,17,24,25,55,47,78","32,12,46,2,69,72,9,26,71,7,67,74,64,73,75,56,58,66,6,27,41,51,54,80,23,57,8,22,33,35,37,5,36,59,61,76,3,13,15,34,70,11,20,38,39,65,77,16,68,4,79,10,14,19,21,42,48,52,53,60,63,28,30,50,40,43,44,45,49,1,18,29,31,62,17,25,47,55,24,78","1,2,5,7,8,12,13,18,19,21,22,26,28,31,32,34,36,39,40,45,51,53,57,60,62,64,67,68,71,74,76,78,79"
32,010,"9,10,20,24,27,41,45,46,48,50,53,56,64,65,66,67,70,73,74,76","2,2,7,6,8,7,2,2,-9,-10,1,4,2,5,1,6,20,3,4,-20,14,5,16,-24,3,1,-27,1,3,7,4,4,4,1,3,5,5,7,3,1,-41,9,1,9,-45,-46,1,-48,5,-50,3,1,-53,2,2,-56,2,1,3,1,3,1,13,-64,-65,-66,-67,6,3,-70,2,12,-73,-74,1,-76,2,8,1,5","32,12,46,2,69,72,9,26,71,7,67,74,64,73,75,56,58,66,6,27,41,51,54,80,23,57,8,22,33,35,37,5,36,59,61,76,3,13,15,34,70,11,20,38,39,65,77,16,68,4,79,10,14,19,21,42,48,52,53,60,63,28,30,50,40,43,44,45,49,1,18,29,31,62,17,25,47,55,24,78","12,32,46,2,69,72,9,26,67,74,64,71,73,7,56,66,75,27,41,6,51,58,80,23,54,57,8,33,35,37,76,5,22,36,59,61,70,13,15,20,3,34,38,65,77,11,16,39,4,10,48,53,68,79,14,19,42,52,60,63,21,50,28,30,40,43,45,49,1,18,29,31,44,62,17,24,25,55,47,78","1,3,7,9,12,13,18,20,21,24,26,28,31,33,35,38,41,42,45,48,50,53,56,58,59,60,62,64,67,70,71,73,76,77,78,80"
33,011,"2,3,5,21,23,24,25,30,34,35,45,47,50,57,58,61,70,75,77,79","3,-2,-3,7,-5,8,3,3,1,1,2,5,3,6,2,7,21,4,5,1,-21,6,-23,-24,-25,2,1,2,4,-30,5,5,5,-34,-35,6,6,8,4,2,1,10,2,10,-45,1,-47,1,6,-50,4,2,1,3,3,1,-57,-58,4,2,-61,2,14,1,1,1,1,7,4,-70,3,13,1,1,-75,1,-77,9,-79,6","12,32,46,2,69,72,9,26,67,74,64,71,73,7,56,66,75,27,41,6,51,58,80,23,54,57,8,33,35,37,76,5,22,36,59,61,70,13,15,20,3,34,38,65,77,11,16,39,4,10,48,53,68,79,14,19,42,52,60,63,21,50,28,30,40,43,45,49,1,18,29,31,44,62,17,24,25,55,47,78","32,12,46,2,72,9,26,67,69,64,73,74,75,7,56,66,71,27,41,58,6,51,23,80,35,54,57,5,8,33,37,61,76,22,36,59,70,13,15,20,77,3,34,11,16,38,39,65,4,48,53,68,79,10,14,19,42,50,52,60,63,21,30,45,28,40,43,1,31,44,49,62,18,29,24,25,17,55,47,78","1,5,7,10,13,18,20,23,24,26,30,32,33,37,39,41,44,47,48,52,55,57,59,61,63,66,67,68,71,72,76,77,78,80"
34,012,"2,4,6,8,10,13,19,31,33,35,38,45,50,51,59,63,65,66,67,74","4,-2,1,-4,1,-6,4,-8,2,-10,3,6,-13,7,3,8,22,5,-19,2,1,7,1,1,1,3,2,3,5,1,-31,6,-33,1,-35,7,7,-38,5,3,2,11,3,11,-45,2,1,2,7,-50,-51,3,2,4,4,2,1,1,-59,3,1,3,-63,2,-65,-66,-67,8,5,1,4,14,2,-74,1,2,1,10,1,7","32,12,46,2,72,9,26,67,69,64,73,74,75,7,56,66,71,27,41,58,6,51,23,80,35,54,57,5,8,33,37,61,76,22,36,59,70,13,15,20,77,3,34,11,16,38,39,65,4,48,53,68,79,10,14,19,42,50,52,60,63,21,30,45,28,40,43,1,31,44,49,62,18,29,24,25,17,55,47,78","32,12,2,46,72,9,26,67,69,74,64,66,75,7,71,73,6,41,51,56,58,27,23,80,8,35,54,57,5,33,37,59,76,22,61,13,15,20,36,70,77,3,38,65,11,16,34,39,4,19,48,63,68,79,10,14,42,50,53,60,21,45,52,28,30,31,40,43,1,44,49,62,18,29,25,17,24,55,47,78","1,3,4,7,9,10,13,15,18,24,25,26,30,32,37,38,40,42,45,49,51,52,55,56,58,59,61,63,65,67,68,69,72,76,77,78,80"
35,013,"1,3,4,6,11,16,18,21,35,38,42,46,49,53,63,64,65,69,72,75","-1,1,-3,-4,2,-6,5,1,3,1,-11,7,1,8,4,-16,23,-18,1,3,-21,8,2,2,2,4,3,4,6,2,1,7,1,2,-35,8,8,-38,6,4,3,-42,4,12,1,-46,2,3,-49,1,1,4,-53,5,5,3,2,2,1,4,2,4,-63,-64,-65,1,1,9,-69,2,5,-72,3,1,-75,3,2,11,2,8","32,12,2,46,72,9,26,67,69,74,64,66,75,7,71,73,6,41,51,56,58,27,23,80,8,35,54,57,5,33,37,59,76,22,61,13,15,20,36,70,77,3,38,65,11,16,34,39,4,19,48,63,68,79,10,14,42,50,53,60,21,45,52,28,30,31,40,43,1,44,49,62,18,29,25,17,24,55,47,78","32,12,46,2,72,69,26,67,75,9,64,66,74,7,71,6,41,56,58,73,27,51,23,8,35,54,57,80,5,33,22,37,59,61,76,3,13,15,20,36,38,65,70,11,16,77,4,39,19,34,48,53,63,68,79,10,14,42,50,60,21,45,52,1,28,30,31,43,49,40,44,62,18,25,29,17,24,55,47,78","2,3,4,7,9,10,12,13,17,18,23,25,27,31,32,34,36,39,40,44,47,49,51,52,55,57,58,59,62,66,67,68,69,71,72,75,76,78,80"
36,014,"6,17,20,24,26,30,32,34,40,42,45,46,51,54,57,58,59,63,71,76","1,2,1,1,3,-6,6,2,4,2,1,8,2,9,5,1,-17,1,2,-20,1,9,3,-24,3,-26,4,5,7,-30,2,-32,2,-34,1,9,9,1,7,-40,4,-42,5,13,-45,-46,3,4,1,2,-51,5,1,-54,6,4,-57,-58,-59,5,3,5,-63,1,1,2,2,10,1,3,-71,1,4,2,1,-76,3,12,3,9","32,12,46,2,72,69,26,67,75,9,64,66,74,7,71,6,41,56,58,73,27,51,23,8,35,54,57,80,5,33,22,37,59,61,76,3,13,15,20,36,38,65,70,11,16,77,4,39,19,34,48,53,63,68,79,10,14,42,50,60,21,45,52,1,28,30,31,43,49,40,44,62,18,25,29,17,24,55,47,78","32,12,46,2,72,69,26,67,9,64,66,71,74,75,6,58,7,41,51,56,73,27,23,54,35,57,80,5,8,59,76,20,33,37,61,3,13,15,22,38,11,16,36,65,70,77,4,34,39,63,42,48,53,68,79,10,19,45,50,60,14,21,52,28,30,40,43,49,1,31,44,62,17,18,24,25,29,55,47,78","1,2,4,7,8,10,12,13,14,17,19,25,28,32,33,34,38,39,40,43,45,46,49,50,52,54,55,57,58,60,61,64,65,67,69,70,72,74,75,77,79,80"
37,015,"1,3,10,11,12,16,23,38,41,52,53,56,58,61,62,71,72,76,78,80","-1,3,-3,2,4,1,7,3,5,-10,-11,-12,3,10,6,-16,1,2,3,1,2,10,-23,1,4,1,5,6,8,1,3,1,3,1,2,10,10,-38,8,1,-41,1,6,14,1,1,4,5,2,3,1,-52,-53,1,7,-56,1,-58,1,6,-61,-62,1,2,2,3,3,11,2,4,-71,-72,5,3,2,-76,4,-78,4,-80","32,12,46,2,72,69,26,67,9,64,66,71,74,75,6,58,7,41,51,56,73,27,23,54,35,57,80,5,8,59,76,20,33,37,61,3,13,15,22,38,11,16,36,65,70,77,4,34,39,63,42,48,53,68,79,10,19,45,50,60,14,21,52,28,30,40,43,49,1,31,44,62,17,18,24,25,29,55,47,78","32,12,46,2,72,69,67,71,9,26,74,6,41,56,58,64,66,75,7,51,73,23,27,35,54,57,76,80,5,8,59,20,33,37,61,3,15,16,38,11,13,22,36,65,70,77,4,34,39,53,63,10,48,19,42,50,60,68,79,14,45,52,21,1,28,30,40,43,49,62,31,44,17,18,25,29,24,55,47,78","1,3,4,6,9,11,12,13,18,19,26,27,32,34,36,37,41,43,44,47,49,51,52,53,54,57,59,61,62,64,67,68,70,71,74,75,77,79,80"
38,016,"1,2,11,15,16,19,23,32,43,45,46,48,53,55,57,62,68,77,79,80","-1,-2,1,3,5,2,8,4,6,1,-11,1,4,11,-15,-16,2,3,-19,2,3,11,-23,2,5,2,6,7,9,2,4,-32,4,2,3,11,11,1,9,2,1,2,-43,15,-45,-46,5,-48,3,4,2,1,-53,2,-55,1,-57,1,2,7,1,-62,2,3,3,4,4,-68,3,5,1,1,6,4,3,1,-77,1,-79,-80","32,12,46,2,72,69,67,71,9,26,74,6,41,56,58,64,66,75,7,51,73,23,27,35,54,57,76,80,5,8,59,20,33,37,61,3,15,16,38,11,13,22,36,65,70,77,4,34,39,53,63,10,48,19,42,50,60,68,79,14,45,52,21,1,28,30,40,43,49,62,31,44,17,18,25,29,24,55,47,78","32,12,46,2,72,67,69,71,9,26,74,6,56,58,64,66,75,7,23,41,51,73,27,80,54,57,76,5,35,8,15,16,20,33,37,59,61,3,77,11,38,53,65,70,4,13,22,34,36,39,63,19,48,68,79,10,42,45,50,60,52,14,21,62,1,28,30,40,43,49,44,31,18,25,29,17,24,55,47,78","3,4,5,6,8,10,11,13,16,19,25,26,32,35,37,40,44,46,48,52,53,55,57,58,60,61,63,64,68,69,71,72,75,77,78,80"
39,017,"1,3,7,13,18,27,31,32,37,43,47,48,51,52,53,61,64,65,73,80","-1,1,-3,4,6,3,-7,5,7,2,1,2,-13,12,1,1,3,-18,1,3,4,12,1,3,6,3,-27,8,10,3,-31,-32,5,3,4,12,-37,2,10,3,2,3,-43,16,1,1,-47,-48,4,5,-51,-52,-53,3,1,2,1,2,3,8,-61,1,3,-64,-65,5,5,1,4,6,2,2,-73,5,4,2,1,2,1,-80","32,12,46,2,72,67,69,71,9,26,74,6,56,58,64,66,75,7,23,41,51,73,27,80,54,57,76,5,35,8,15,16,20,33,37,59,61,3,77,11,38,53,65,70,4,13,22,34,36,39,63,19,48,68,79,10,42,45,50,60,52,14,21,62,1,28,30,40,43,49,44,31,18,25,29,17,24,55,47,78","32,12,46,2,72,67,69,71,9,26,64,6,7,51,56,58,66,73,74,75,27,23,41,80,54,76,35,57,61,3,5,8,15,20,37,59,16,33,53,65,77,13,38,70,4,11,22,34,36,39,48,63,68,10,19,42,50,52,79,45,60,1,14,43,62,21,28,30,40,49,31,44,18,29,17,24,25,55,47,78","3,5,6,8,10,12,16,18,23,25,31,34,35,37,40,43,47,49,50,51,52,54,55,57,59,60,63,64,66,68,71,72,75,77,78,80"
40,018,"5,9,13,22,23,24,28,31,33,34,37,45,46,48,50,52,55,63,72,76","1,2,1,5,-5,4,1,6,-9,3,2,3,-13,13,2,2,4,1,2,4,5,-22,-23,-24,7,4,1,-28,11,4,-31,1,-33,-34,5,13,-37,3,11,4,3,4,1,17,-45,-46,1,-48,5,-50,1,-52,1,4,-55,3,2,3,4,9,1,2,-63,1,1,6,6,2,5,7,3,-72,1,6,5,-76,2,3,2,1","32,12,46,2,72,67,69,71,9,26,64,6,7,51,56,58,66,73,74,75,27,23,41,80,54,76,35,57,61,3,5,8,15,20,37,59,16,33,53,65,77,13,38,70,4,11,22,34,36,39,48,63,68,10,19,42,50,52,79,45,60,1,14,43,62,21,28,30,40,49,31,44,18,29,17,24,25,55,47,78","32,12,46,2,72,9,67,69,71,26,64,6,51,56,73,74,7,23,27,58,66,75,41,76,80,54,5,35,37,57,61,3,15,33,8,13,16,20,59,77,34,48,53,63,65,70,11,22,36,38,39,4,50,52,68,10,19,42,45,79,60,1,43,62,14,21,28,30,31,40,49,18,44,24,55,17,25,29,47,78","1,3,4,6,9,11,13,15,19,20,22,26,32,33,35,36,40,41,43,44,46,48,49,51,52,54,56,57,60,63,64,67,70,71,75,77,80"
41,019,"2,3,12,16,18,21,24,33,45,46,50,53,55,62,68,70,71,72,79,80","2,-2,-3,6,1,5,2,7,1,4,3,-12,1,14,3,-16,5,-18,3,5,-21,1,1,-24,8,5,2,1,12,5,1,2,-33,1,6,14,1,4,12,5,4,5,2,18,-45,-46,2,1,6,-50,2,1,-53,5,-55,4,3,4,5,10,2,-62,1,2,2,7,7,-68,6,-70,-71,-72,2,7,6,1,3,4,-79,-80","32,12,46,2,72,9,67,69,71,26,64,6,51,56,73,74,7,23,27,58,66,75,41,76,80,54,5,35,37,57,61,3,15,33,8,13,16,20,59,77,34,48,53,63,65,70,11,22,36,38,39,4,50,52,68,10,19,42,45,79,60,1,43,62,14,21,28,30,31,40,49,18,44,24,55,17,25,29,47,78","32,12,46,2,72,71,9,67,26,64,69,6,51,56,73,74,7,58,66,75,23,27,41,80,54,76,3,33,35,37,57,61,5,15,16,8,70,77,13,20,48,53,59,63,65,22,34,36,50,68,4,11,38,39,45,52,79,10,42,19,60,62,1,21,43,14,28,30,49,18,31,40,24,44,55,17,29,25,47,78","1,2,4,9,11,13,15,18,22,24,26,30,32,33,35,39,40,43,44,46,48,50,51,52,55,56,58,59,60,61,64,68,70,71,75,77,80"
42,020,"1,2,5,6,11,14,21,26,37,40,41,43,45,50,57,60,61,67,73,78","-1,-2,1,7,-5,-6,3,8,2,5,-11,1,2,-14,4,1,6,1,4,6,-21,2,2,1,9,-26,3,2,13,6,2,3,1,2,7,15,-37,5,13,-40,-41,6,-43,19,-45,1,3,2,7,-50,3,2,1,6,1,5,-57,5,6,-60,-61,1,2,3,3,8,-67,1,7,1,1,1,-73,8,7,2,4,-78,1,1","32,12,46,2,72,71,9,67,26,64,69,6,51,56,73,74,7,58,66,75,23,27,41,80,54,76,3,33,35,37,57,61,5,15,16,8,70,77,13,20,48,53,59,63,65,22,34,36,50,68,4,11,38,39,45,52,79,10,42,19,60,62,1,21,43,14,28,30,49,18,31,40,24,44,55,17,29,25,47,78","32,12,46,2,72,67,71,9,6,26,64,69,73,51,56,58,66,74,7,23,27,41,75,80,54,61,76,3,5,33,35,37,57,16,8,15,77,13,20,50,59,63,65,70,11,22,34,36,45,48,53,4,38,52,68,79,39,42,60,10,19,21,43,1,14,62,28,40,49,18,30,31,24,55,44,17,29,25,47,78","2,4,6,8,9,10,13,14,19,20,21,25,26,28,33,34,35,38,42,43,45,47,49,51,52,55,58,59,63,67,70,74,75,77,80"
43,021,"6,8,10,11,13,14,27,30,32,33,35,38,47,50,52,56,62,65,71,76","1,1,2,8,1,-6,4,-8,3,-10,-11,2,-13,-14,5,2,7,2,5,7,1,3,3,2,10,1,-27,3,14,-30,3,-32,-33,3,-35,16,1,-38,14,1,1,7,1,20,1,2,-47,3,8,-50,4,-52,2,7,2,-56,1,6,7,1,1,-62,3,4,-65,9,1,2,8,2,-71,2,1,9,8,-76,5,1,2,2","32,12,46,2,72,67,71,9,6,26,64,69,73,51,56,58,66,74,7,23,27,41,75,80,54,61,76,3,5,33,35,37,57,16,8,15,77,13,20,50,59,63,65,70,11,22,34,36,45,48,53,4,38,52,68,79,39,42,60,10,19,21,43,1,14,62,28,40,49,18,30,31,24,55,44,17,29,25,47,78","32,12,46,2,71,67,72,6,9,26,64,69,73,51,56,27,58,74,7,23,41,66,75,76,80,35,54,61,3,5,33,37,57,16,8,13,65,11,15,20,50,59,77,22,34,36,38,45,48,52,53,63,70,68,79,4,10,39,14,19,21,42,60,62,1,43,28,30,49,31,40,18,24,55,44,17,25,29,47,78","1,2,4,6,7,8,13,19,21,24,28,32,33,35,37,41,45,46,48,50,53,54,55,58,59,62,63,67,69,71,74,77,78,80"
44,022,"3,6,8,11,14,15,20,25,26,28,39,49,54,56,57,61,63,66,76,77","2,2,-3,9,2,-6,5,-8,4,1,-11,3,1,-14,-15,3,8,3,6,-20,2,4,4,3,-25,-26,1,-28,15,1,4,1,1,4,1,17,2,1,-39,2,2,8,2,21,2,3,1,4,-49,1,5,1,3,-54,3,-56,-57,7,8,2,-61,1,-63,5,1,-66,2,3,9,3,1,3,2,10,9,-76,-77,2,3,3","32,12,46,2,71,67,72,6,9,26,64,69,73,51,56,27,58,74,7,23,41,66,75,76,80,35,54,61,3,5,33,37,57,16,8,13,65,11,15,20,50,59,77,22,34,36,38,45,48,52,53,63,70,68,79,4,10,39,14,19,21,42,60,62,1,43,28,30,49,31,40,18,24,55,44,17,25,29,47,78","32,12,2,46,71,6,67,72,9,26,56,73,51,64,69,27,74,7,23,41,58,66,76,61,54,57,75,80,3,33,35,37,5,8,11,13,15,16,65,77,20,50,59,63,22,34,38,45,48,52,70,36,39,53,68,79,4,10,14,21,42,60,1,19,28,43,49,62,30,31,18,40,55,24,17,25,44,29,47,78","1,2,4,5,7,9,10,13,14,18,21,24,26,28,29,31,32,34,37,41,42,46,47,48,49,51,54,57,58,62,67,69,71,76,78,79,80"
